LastName,FirstName,Country,Time
Gisin,Michelle,SUI,52.25
Holdener,Wendy,SUI,53.31
Brignone,Federica,ITA,54.41
Ledecka,Ester,CZE,55.89
Huber,Katharina,AUT,53.12
